,2017,2018,2019,2020,2021,2022,2023,2024,2025
Esportivos,52,23,25,46,774,66,119,84,40
Furgões,7.274,8.732,30.599,1.862,14.409,14.590,12.035,13.751,13.909
Grancabs,5.256,3.499,6.687,3.542,5.616,5.961,8.186,7.206,6.745
Hatchs médios,2.627,1.860,329,150,645,712,896,249,179
Hatchs pequenos,101.215,119.318,169.397,85.907,76.649,148.999,192.547,233.937,247.939
Monocabs,3.827,3.983,4.518,11.775,5.070,204,19,11,0
Pick ups grandes,15.561,20.099,23.220,22.754,35.190,32.665,30.795,35.090,39.896
Pick ups pequenas,21.936,25.797,13.471,27.707,32.330,41.594,51.403,55.649,59.322
Sedans compactos,4.939,10.155,15.322,26.666,19.186,29.705,44.130,38.751,14.802
Sedans grandes,1.230,190,538,400,1.038,1.543,4.612,183,177
Sedans Médios,8.580,8.967,11.401,4.665,8.526,12.339,6.918,5.752,5.836
Sedans pequenos,68.287,74.888,76.164,48.658,51.865,79.905,48.851,52.952,29.317
SUV,21.961,34.574,62.357,42.920,90.111,109.090,111.916,145.707,136.726
SW grandes,24,13,3,5,4,14,11,0,1
SW médios,1.360,1.909,2.466,24,8,0,0,0,0
Veículos de entrada,95.573,98.746,124.849,83.486,100.437,113.133,78.432,60.077,74.081
Total,359.702,412.753,541.346,360.567,441.858,590.520,590.870,649.399,628.970